id,CTDTEMP_ITS90,Salinity_PSS78,Depth,TA,DIC
0,15.36,33.6095,10.0,2241.0,1989.4
1,11.23,33.6095,10.0,2241.0,1989.8
2,11.23,33.6095,10.0,2241.0,1989.3
3,11.23,33.6095,10.0,2241.0,1988.6
4,15.06,33.282,10.0,2241.0,1991.5
5,11.23,33.281,10.0,2241.0,1988.5
7,11.23,33.398,10.0,2241.0,1991.8
9,11.23,33.235,10.0,2241.0,1983.8
10,19.68,33.419,10.0,2241.0,1978.9
11,11.23,33.6095,10.0,2241.0,1979.0
13,11.23,33.6095,10.0,2241.0,1982.9
15,11.23,33.6095,10.0,2241.0,1974.5
16,11.23,33.466,10.0,2241.0,1975.9
18,20.72,33.497,10.0,2241.0,1983.6
19,11.23,33.6095,10.0,2241.0,1983.6
20,20.29,33.539,10.0,2241.0,1975.7
21,11.23,33.6095,10.0,2241.0,1975.7
22,11.23,33.538,10.0,2241.0,1973.9
24,20.16,33.534,10.0,2241.0,1985.2
25,11.23,33.531,10.0,2241.0,1982.6
27,11.23,33.488,10.0,2241.0,1977.3
28,19.26,33.531,10.0,2241.0,1972.7
31,17.22,33.546,10.0,2241.0,1981.8
34,11.23,33.438,11.0,2241.0,1987.2
35,16.57,33.338,11.0,2233.7,1980.7
36,11.23,33.339,11.0,2235.6,1980.6
37,17.35,33.545,9.0,2251.7,1988.4
38,11.23,33.557,9.0,2250.9,1987.4
39,17.35,33.551,9.0,2251.3,1987.9
40,16.57,33.339,11.0,2234.6,1980.7
41,17.29,33.545,11.0,2251.8,1986.2
42,11.23,33.6095,11.0,2246.3,1985.7
46,17.29,33.549,11.0,2251.8,1986.0
47,17.96,33.675,13.0,2257.2,1992.4
48,11.23,33.678,13.0,2259.0,1990.2
49,17.96,33.676,13.0,2258.1,1991.3
50,18.14,33.816,13.0,2264.9,1993.9
53,11.23,33.707,10.0,2256.0,1995.0
54,11.23,33.6095,10.0,2252.7,1995.2
55,16.68,33.705,10.0,2254.3,1994.8
57,11.23,33.391,12.0,2241.0,1994.6
59,11.23,33.3,10.0,2236.0,1985.3
60,15.25,33.302,10.0,2237.1,1985.6
62,11.23,33.434,12.0,2239.9,1989.1
64,16.31,33.593,12.0,2306.1,1993.7
65,11.23,33.591,12.0,2250.3,1993.3
66,16.7,33.653,10.0,2252.8,1996.1
67,11.23,33.653,10.0,2289.7,1993.5
68,16.19,33.573,12.0,2240.3,1992.6
71,16.31,33.592,12.0,2249.7,1993.5
72,16.55,33.578,10.0,2245.8,1993.2
74,16.21,33.6095,10.0,2241.0,1992.2
75,11.23,33.6095,10.0,2241.0,1991.8
77,16.34,33.539,10.0,2246.7,1992.1
78,16.55,33.577,10.0,2245.8,1992.8
79,16.35,33.539,12.0,2246.0,1992.2
